year,years_from_val,revenue,ebit,nopat,capex,nwc_change,fcf,discount_factor,pv_fcf
1997.0,0.5,1096776495.3802943,33667443.52911354,21883838.293923803,21651184.553316504,21651184.553316504,-21418530.812709205,0.9300816647554058,-19920982.79489953
1998.0,1.5,1076690203.8748856,33050860.216272596,21483059.14057719,21254666.20504125,-396518.34827525646,624911.2838111977,0.8045689141482749,502784.1930549798
1999.0,2.5,1065764244.2763568,32715469.068363927,21265054.894436553,21038979.62834469,-215686.5766965596,441761.84278842417,0.69599387037048,307463.53474431083
2000.0,3.5,1066812672.913547,32747652.391115267,21285974.054224923,21059676.39018304,20696.76183835136,205600.90220353287,0.6020708221197925,123786.30421825209
2001.0,4.5,1029537097.2630026,31603414.395939454,20542219.357360646,20323828.775705114,-735847.6144779243,954238.1961334564,0.5208225104842495,496988.7329101885
